agent_type,temperature_c,temperature_f,concentration_pct,flooding_factor_metric,flooding_factor_imperial,source
FK-5-1-12,32.222,90,5.0,0.700007,0.0437,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,37.778,100,5.0,0.68559,0.0428,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,43.333,110,5.0,0.672775,0.042,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,48.889,120,5.0,0.659961,0.0412,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,54.444,130,5.0,0.647146,0.0404,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,60.0,140,5.0,0.635933,0.0397,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,65.556,150,5.0,0.623118,0.0389,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,71.111,160,5.0,0.611905,0.0382,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,76.667,170,5.0,0.602294,0.0376,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,82.222,180,5.0,0.591081,0.0369,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,87.778,190,5.0,0.58147,0.0363,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,93.333,200,5.0,0.571859,0.0357,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,98.889,210,5.0,0.562248,0.0351,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,104.444,220,5.0,0.554239,0.0346,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-28.889,-20,5.5,0.994747,0.0621,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-23.333,-10,5.5,0.970719,0.0606,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-17.778,0,5.5,0.946691,0.0591,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-12.222,10,5.5,0.922663,0.0576,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-6.667,20,5.5,0.901839,0.0563,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-1.111,30,5.5,0.881015,0.055,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,4.444,40,5.5,0.860191,0.0537,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,10.0,50,5.5,0.840969,0.0525,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,15.556,60,5.5,0.823349,0.0514,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,21.111,70,5.5,0.805729,0.0503,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,26.667,80,5.5,0.78971,0.0493,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,32.222,90,5.5,0.773692,0.0483,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,37.778,100,5.5,0.757673,0.0473,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,43.333,110,5.5,0.743257,0.0464,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,48.889,120,5.5,0.72884,0.0455,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,54.444,130,5.5,0.716025,0.0447,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,60.0,140,5.5,0.701609,0.0438,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,65.556,150,5.5,0.690396,0.0431,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,71.111,160,5.5,0.677581,0.0423,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,76.667,170,5.5,0.666368,0.0416,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,82.222,180,5.5,0.653553,0.0408,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,87.778,190,5.5,0.643942,0.0402,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,93.333,200,5.5,0.632729,0.0395,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,98.889,210,5.5,0.621516,0.0388,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,104.444,220,5.5,0.611905,0.0382,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-28.889,-20,5.85,1.062024,0.0663,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-23.333,-10,5.85,1.034793,0.0646,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-17.778,0,5.85,1.009163,0.063,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-12.222,10,5.85,0.985135,0.0615,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-6.667,20,5.85,0.96271,0.0601,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-1.111,30,5.85,0.940284,0.0587,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,4.444,40,5.85,0.91946,0.0574,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,10.0,50,5.85,0.898636,0.0561,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,15.556,60,5.85,0.879414,0.0549,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,21.111,70,5.85,0.860191,0.0537,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,26.667,80,5.85,0.842571,0.0526,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,32.222,90,5.85,0.826553,0.0516,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,37.778,100,5.85,0.808932,0.0505,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,43.333,110,5.85,0.792914,0.0495,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,48.889,120,5.85,0.778497,0.0486,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,54.444,130,5.85,0.764081,0.0477,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,60.0,140,5.85,0.749664,0.0468,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,65.556,150,5.85,0.736849,0.046,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,71.111,160,5.85,0.724035,0.0452,calculo_supresion.xlsx tabla_temperatura
